"TIME","CITIES","INDIC_UR","Value"
"2014","Zagreb","Population on the 1st of January, female","422 292"
"2014","Roma","Population on the 1st of January, total","2 863 322"
"2014","Roma","Population on the 1st of January, female","1 506 752"
"2014","Wien","Population on the 1st of January, total","1 766 746"
"2014","Wien","Population on the 1st of January, female","916 150"
"2014","Warszawa","Population on the 1st of January, total","1 735 442"
"2014","Warszawa","Population on the 1st of January, female","939 250"
"2014","Helsinki / Helsingfors","Population on the 1st of January, total","620 715"
"2014","Helsinki / Helsingfors","Population on the 1st of January, female","323 707"
"2014","Stockholm","Population on the 1st of January, total",":"
"2014","Stockholm","Population on the 1st of January, female",":"
"2015","Bruxelles / Brussel","Population on the 1st of January, total","1 196 831"
"2015","Bruxelles / Brussel","Population on the 1st of January, female","609 555"
"2015","Praha","Population on the 1st of January, total","1 267 449"
"2015","Praha","Population on the 1st of January, female","652 780"
"2015","København","Population on the 1st of January, total",":"
"2015","København","Population on the 1st of January, female",":"
"2015","Athina","Population on the 1st of January, total",":"
"2015","Athina","Population on the 1st of January, female",":"
"2015","Madrid","Population on the 1st of January, total","3 141 991"
"2015","Madrid","Population on the 1st of January, female","1 681 394"
"2015","Paris (greater city)","Population on the 1st of January, total",":"
"2015","Paris (greater city)","Population on the 1st of January, female",":"
"2015","Zagreb","Population on the 1st of January, total","799 999"
"2015","Zagreb","Population on the 1st of January, female","425 994"
"2015","Roma","Population on the 1st of January, total","2 872 021"
"2015","Roma","Population on the 1st of January, female","1 509 918"
"2015","Wien","Population on the 1st of January, total",":"
"2015","Wien","Population on the 1st of January, female",":"
"2015","Warszawa","Population on the 1st of January, total",":"
"2015","Warszawa","Population on the 1st of January, female",":"
"2015","Helsinki / Helsingfors","Population on the 1st of January, total","620 715"
"2015","Helsinki / Helsingfors","Population on the 1st of January, female","327 602"
"2015","Stockholm","Population on the 1st of January, total",":"
"2015","Stockholm","Population on the 1st of January, female",":"
"2016","Bruxelles / Brussel","Population on the 1st of January, total","1 201 129"
"2016","Bruxelles / Brussel","Population on the 1st of January, female","611 859"
"2016","Praha","Population on the 1st of January, total","1 280 508"
"2016","Praha","Population on the 1st of January, female","658 943"
"2016","København","Population on the 1st of January, total",":"
"2016","København","Population on the 1st of January, female",":"
"2016","Athina","Population on the 1st of January, total",":"
"2016","Athina","Population on the 1st of January, female",":"
"2016","Madrid","Population on the 1st of January, total","3 165 541"
"2016","Madrid","Population on the 1st of January, female","1 693 369"
"2016","Paris (greater city)","Population on the 1st of January, total",":"
"2016","Paris (greater city)","Population on the 1st of January, female",":"
"2016","Zagreb","Population on the 1st of January, total","801 349"
"2016","Zagreb","Population on the 1st of January, female","426 713"
"2016","Roma","Population on the 1st of January, total","2 864 731"
"2016","Roma","Population on the 1st of January, female","1 508 747"
"2016","Wien","Population on the 1st of January, total",":"
"2016","Wien","Population on the 1st of January, female",":"
"2016","Warszawa","Population on the 1st of January, total",":"
"2016","Warszawa","Population on the 1st of January, female",":"
"2016","Helsinki / Helsingfors","Population on the 1st of January, total","628 208"
"2016","Helsinki / Helsingfors","Population on the 1st of January, female","331 057"
"2016","Stockholm","Population on the 1st of January, total",":"
"2016","Stockholm","Population on the 1st of January, female",":"
"2017","Bruxelles / Brussel","Population on the 1st of January, total","1 199 095"
"2017","Bruxelles / Brussel","Population on the 1st of January, female","611 616"
"2017","Praha","Population on the 1st of January, total","1 294 513"
"2017","Praha","Population on the 1st of January, female","664 963"
"2017","København","Population on the 1st of January, total",":"
"2017","København","Population on the 1st of January, female",":"
"2017","Athina","Population on the 1st of January, total",":"
"2017","Athina","Population on the 1st of January, female",":"
"2017","Madrid","Population on the 1st of January, total","3 182 981"
"2017","Madrid","Population on the 1st of January, female","1 702 381"
"2017","Paris (greater city)","Population on the 1st of January, total",":"
"2017","Paris (greater city)","Population on the 1st of January, female",":"
"2017","Zagreb","Population on the 1st of January, total","802 701"
"2017","Zagreb","Population on the 1st of January, female","427 433"
"2017","Roma","Population on the 1st of January, total","2 873 494"
"2017","Roma","Population on the 1st of January, female","1 511 110"
"2017","Wien","Population on the 1st of January, total",":"
"2017","Wien","Population on the 1st of January, female",":"
"2017","Warszawa","Population on the 1st of January, total",":"
"2017","Warszawa","Population on the 1st of January, female",":"
"2017","Helsinki / Helsingfors","Population on the 1st of January, total","635 181"
"2017","Helsinki / Helsingfors","Population on the 1st of January, female","334 171"
"2017","Stockholm","Population on the 1st of January, total","935 619"
"2017","Stockholm","Population on the 1st of January, female","473 942"
"2018","Bruxelles / Brussel","Population on the 1st of January, total","1 205 492"
"2018","Bruxelles / Brussel","Population on the 1st of January, female","614 177"
"2018","Praha","Population on the 1st of January, total",":"
"2018","Praha","Population on the 1st of January, female",":"
"2018","København","Population on the 1st of January, total",":"
"2018","København","Population on the 1st of January, female",":"
"2018","Athina","Population on the 1st of January, total",":"
"2018","Athina","Population on the 1st of January, female",":"
"2018","Madrid","Population on the 1st of January, total","3 223 334"
"2018","Madrid","Population on the 1st of January, female","1 723 144"
"2018","Paris (greater city)","Population on the 1st of January, total",":"
"2018","Paris (greater city)","Population on the 1st of January, female",":"
"2018","Zagreb","Population on the 1st of January, total","804 049"
"2018","Zagreb","Population on the 1st of January, female","428 154"
"2018","Roma","Population on the 1st of January, total","2 872 800"
"2018","Roma","Population on the 1st of January, female","1 509 937"
"2018","Wien","Population on the 1st of January, total",":"
"2018","Wien","Population on the 1st of January, female",":"
"2018","Warszawa","Population on the 1st of January, total",":"
"2018","Warszawa","Population on the 1st of January, female",":"
"2018","Helsinki / Helsingfors","Population on the 1st of January, total","643 272"
"2018","Helsinki / Helsingfors","Population on the 1st of January, female","338 035"
"2018","Stockholm","Population on the 1st of January, total","949 761"
"2018","Stockholm","Population on the 1st of January, female","480 264"
"2019","Bruxelles / Brussel","Population on the 1st of January, total","1 215 289"
"2019","Bruxelles / Brussel","Population on the 1st of January, female","618 282"
"2019","Praha","Population on the 1st of January, total","1 324 277"
"2019","Praha","Population on the 1st of January, female","676 991"
"2019","København","Population on the 1st of January, total",":"
"2019","København","Population on the 1st of January, female",":"
"2019","Athina","Population on the 1st of January, total",":"
"2019","Athina","Population on the 1st of January, female",":"
"2019","Madrid","Population on the 1st of January, total","3 266 126"
"2019","Madrid","Population on the 1st of January, female","1 745 973"
"2019","Paris (greater city)","Population on the 1st of January, total",":"
"2019","Paris (greater city)","Population on the 1st of January, female",":"
"2019","Zagreb","Population on the 1st of January, total","805 413"
"2019","Zagreb","Population on the 1st of January, female","428 877"
"2019","Roma","Population on the 1st of January, total","2 856 133"
"2019","Roma","Population on the 1st of January, female","1 504 189"
"2019","Wien","Population on the 1st of January, total",":"
"2019","Wien","Population on the 1st of January, female",":"
"2019","Warszawa","Population on the 1st of January, total",":"
"2019","Warszawa","Population on the 1st of January, female",":"
"2019","Helsinki / Helsingfors","Population on the 1st of January, total","648 042"
"2019","Helsinki / Helsingfors","Population on the 1st of January, female","340 409"
"2019","Stockholm","Population on the 1st of January, total",":"
"2019","Stockholm","Population on the 1st of January, female",":"
